"full.date","ID","Total_hits","Diff_logger","Rhodo","Logstump","cover","Bamboo","Distance","Distance20","Act_time","Activity","Activity20","Moon","Sex","season","season.n","datalog","trap"
2010-04-12,"M257",3,1,1,0.190522091688826,1,0,0,40,190.233333333333,0,0.210268091817067,6.8,"M","EBS",1,5,1
2010-04-13,"M141",1,1,0,1.28026496505515,0,0,0,0,0,0,0,2.9,"M","EBS",1,5,1
2010-04-13,"M144",1,1,0,0.188426031831768,0,0,0,0,0,0,0,2.9,"F","EBS",1,5,1
2010-04-13,"M149",1,1,0,1.15054583190509,0,0,0,0,0,0,0,2.9,"F","EBS",1,5,1
2010-04-13,"M237",3,2,0.666666666666667,0.553769716144267,0.666666666666667,0,41.2310562561766,61.2310562561766,293.266666666667,0.140592371866935,0.208789689439111,2.9,"F","EBS",1,5,1
2010-04-13,"M238",2,2,0.5,0.539836090296612,0.5,0,56.5685424949238,56.5685424949238,53.7666666666667,1.05211176369976,1.05211176369976,2.9,"M","EBS",1,5,1
2010-04-13,"M239",2,2,0.5,0.32710349947635,0.5,0,41.2310562561766,41.2310562561766,200.1,0.206052255153306,0.206052255153306,2.9,"M","EBS",1,5,1
2010-04-13,"M252",1,1,1,0.190522091688826,1,0,0,0,0,0,0,2.9,"F","EBS",1,5,1
2010-04-13,"M257",1,1,1,0.190522091688826,1,0,0,0,0,0,0,2.9,"M","EBS",1,5,1
2010-04-14,"M118",1,1,1,0,1,0,0,0,0,0,0,0.6,"M","EBS",1,5,1
2010-04-14,"M137",1,1,1,0,1,0,0,0,0,0,0,0.6,"M","EBS",1,5,1
2010-04-14,"M141",1,1,1,0,1,0,0,0,0,0,0,0.6,"M","EBS",1,5,1
2010-04-14,"M144",1,1,0,0.188426031831768,0,0,0,0,0,0,0,0.6,"F","EBS",1,5,1
2010-04-14,"M148",2,1,0,0.72097185584066,0,0,0,20,52.3333333333333,0,0.382165605095541,0.6,"M","EBS",1,5,1
